Shetran-Optimise
****************
number,deep_soil_conductivity,shallow_soil_conductivity,shallow_soil_depth,AePe_ratio,urban-prec-fraction,NSECal,BiasCal,NSEVal,BiasVal
  45,    0.8083,   81.4676,    1.3157,    0.6520,    0.3833,    0.6771,   10.5845,    0.6766,   19.4370
  46,    0.2460,   92.7959,    0.8038,    0.4254,    0.5632,    0.7763,   12.4484,    0.7577,   20.4514
  47,    0.5206,   65.1339,    1.1800,    0.5028,    0.3818,    0.7782,    9.2231,    0.7619,   17.6140
  48,    0.6394,   74.6898,    1.0653,    0.6792,    0.4270,    0.7641,    6.8739,    0.7573,   15.5886
  49,    0.3361,   70.9171,    0.7944,    0.4987,    0.4263,    0.7953,    8.1657,    0.7432,   15.7681
  50,    0.3153,   95.0685,    0.5394,    0.6577,    0.4895,    0.8089,    6.3153,    0.7868,   14.2539
  51,    0.0294,  118.6546,    0.4780,    0.7546,    0.5577,    0.8340,    6.3001,    0.8083,   14.0333
  52,    0.6997,   90.5610,    1.6042,    0.5883,    0.1396,    0.6747,   12.3593,    0.6712,   21.0549
  53,    0.3555,   58.0048,    0.7888,    0.9297,    0.4180,    0.7915,   -0.2018,    0.7465,    8.1059
  54,    0.2915,   80.5800,    0.9759,    0.7304,    0.3508,    0.7799,    6.4565,    0.7727,   14.9090
  55,    0.3868,   73.1042,    0.9160,    0.6639,    0.4224,    0.7802,    7.0434,    0.7697,   15.5258
  56,    0.6668,   80.0647,    0.5783,    0.3736,    0.4538,    0.7828,   10.6113,    0.7516,   18.5422
  57,    0.5006,  102.8721,    0.8705,    0.3790,    0.4695,    0.7564,   13.7986,    0.7415,   22.1463
  58,    0.7249,   38.4784,    0.6010,    1.0170,    0.4168,    0.7658,   -2.8464,    0.7229,    5.7654
  59,    0.7721,   89.7532,    0.6096,    0.3062,    0.4868,    0.7783,   12.0006,    0.7532,   20.0662
  60,    0.4849,   94.7572,    0.7899,    0.7740,    0.3487,    0.8012,    4.2960,    0.7880,   12.6820
  61,    0.6194,   87.3970,    0.6166,    0.2957,    0.6128,    0.7840,   12.0502,    0.7520,   19.9291
  62,    0.9115,   63.1418,    1.1322,    0.6176,    0.3433,    0.7559,    7.1026,    0.7461,   15.9282
  63,    0.7611,   71.6244,    0.9201,    0.6049,    0.4103,    0.7602,    8.0443,    0.7497,   16.7420
  64,    0.4627,  110.9472,    0.7667,    0.1397,    0.5363,    0.7873,   15.5591,    0.7554,   23.2621
  65,    0.7272,   76.4071,    0.7794,    0.5871,    0.4471,    0.7852,    6.6732,    0.7633,   14.9504
  66,    0.6003,   77.9908,    0.7115,    0.5447,    0.5055,    0.7896,    7.5892,    0.7634,   15.6730
  67,    0.5157,   89.5756,    0.6686,    0.4663,    0.5372,    0.7944,    9.2459,    0.7682,   17.2418
  68,    0.5447,   83.7723,    0.6396,    0.5380,    0.4578,    0.7935,    7.8168,    0.7686,   15.8920
  69,    0.3093,   66.9586,    0.5793,    1.2453,    0.3915,    0.7888,   -5.7843,    0.7746,    2.8849
  70,    0.6712,   14.7846,    3.8183,    1.0512,    0.4461,    0.6213,   -2.9123,    0.6475,    7.2249
  71,    0.3477,   77.9557,    0.6261,    0.9689,    0.4277,    0.8031,   -0.0022,    0.7852,    8.3444
  72,    0.5691,   39.3032,    3.0571,    0.9296,    0.1061,    0.5787,    4.4944,    0.5938,   13.8500
  73,    0.8750,   49.5400,    2.9441,    1.7537,    0.1346,    0.4532,   -7.7933,    0.5015,    1.8983
  74,    0.1564,   93.4808,    0.6158,    0.8745,    0.4633,    0.8182,    2.9230,    0.7952,   10.7101
  75,    0.2064,   95.8678,    2.5583,    0.5851,    0.2761,    0.5552,   15.4846,    0.5499,   23.9367
  76,    0.1037,    2.1133,    3.9573,    1.5235,    0.1024,    0.5835,  -16.4975,    0.4077,   -6.0995
  77,    0.5144,   60.5210,    1.2178,    1.9289,    0.2155,    0.6774,  -16.3883,    0.7329,   -6.5292
  78,    0.0043,   47.9701,    0.9708,    1.0295,    0.4898,    0.8169,   -0.8605,    0.7833,    7.1933
  79,    0.0536,   49.0058,    0.4610,    0.8530,    0.6579,    0.7410,    1.1163,    0.6287,    8.7934
  80,    0.4844,   76.7092,    1.2231,    0.6765,    0.3124,    0.7722,    6.9626,    0.7630,   15.6189
  81,    0.3095,   77.8310,    0.5812,    0.6342,    0.6425,    0.8028,    6.1478,    0.7668,   13.9700
  82,    0.4437,   99.4698,    0.2482,    0.4474,    0.5038,    0.7501,    8.6644,    0.6535,   15.9678
  83,    0.4188,   65.9283,    0.4760,    0.9347,    0.4412,    0.7942,    0.0975,    0.7691,    8.5108
  84,    0.1151,   68.3191,    0.6528,    0.8540,    0.4940,    0.8000,    2.1157,    0.7430,    9.9026
  85,    0.0088,   71.5380,    0.5932,    1.3736,    0.3274,    0.8080,   -6.8454,    0.7684,    1.0812
  86,    0.0165,   75.2538,    0.7632,    0.8973,    0.5124,    0.8099,    1.7470,    0.7496,    9.4570
  87,    0.2775,   31.8641,    3.5780,    0.5107,    0.3568,    0.6350,   10.4823,    0.6339,   19.4029
  88,    0.3412,   79.1569,    1.5221,    0.8960,    0.4536,    0.6918,    6.2691,    0.6986,   15.1436
  89,    0.2863,   68.9013,    0.7116,    1.0233,    0.4270,    0.7987,   -1.3153,    0.7742,    7.0087
  90,    0.1221,   87.5630,    0.6251,    0.9020,    0.4696,    0.8162,    2.2107,    0.7895,    9.9517
  91,    0.1297,   77.9833,    0.4838,    0.2889,    0.5703,    0.7861,   12.2970,    0.7153,   19.2984
  92,    0.4311,    6.9730,    2.7316,    1.4389,    0.1556,    0.7045,  -13.9646,    0.6469,   -3.4784
  93,    0.7436,    7.6577,    1.3617,    1.0938,    0.4396,    0.7276,   -5.8638,    0.6493,    3.2623
  94,    0.2234,   92.4245,    0.7089,    0.7095,    0.4631,    0.8134,    5.5008,    0.7880,   13.2645
  95,    0.5643,   72.3423,    2.7177,    0.6492,    0.2585,    0.5926,   12.3002,    0.5876,   20.9649
  96,    0.1929,   97.2481,    0.6167,    1.6677,    0.1344,    0.7719,  -11.0401,    0.7926,   -2.4724
  97,    0.0500,   91.9118,    0.6255,    1.0600,    0.5092,    0.8204,   -0.2769,    0.7959,    7.6299
  98,    0.1488,   79.0385,    0.5806,    0.6063,    0.5237,    0.8070,    6.8895,    0.7568,   14.3254
  99,    0.6469,   40.5049,    1.1687,    1.3937,    0.4806,    0.7414,   -9.2113,    0.7623,    0.5464
 100,    0.2519,   79.3952,    1.0904,    0.8946,    0.4602,    0.7782,    3.6657,    0.7790,   12.2032
 101,    0.5907,   15.8372,    3.5143,    0.9567,    0.4551,    0.6912,   -1.5693,    0.6988,    8.1471
 102,    0.2869,   94.2657,    0.5568,    0.7801,    0.1354,    0.8114,    4.2301,    0.7923,   12.2623
 103,    0.2106,   77.3084,    0.8794,    0.9182,    0.4665,    0.7806,    3.0543,    0.7825,   11.4842
 104,    0.1976,   77.2150,    0.7605,    0.9403,    0.4170,    0.8076,    0.7544,    0.7809,    8.7423
 105,    0.1331,   45.7601,    3.9419,    1.1692,    0.3392,    0.4233,    3.0122,    0.4507,   12.5193
 106,    0.1962,   96.6286,    0.5913,    0.9698,    0.3383,    0.8155,    1.1767,    0.8014,    9.2494
 107,    0.0221,   94.5236,    0.5924,    0.9949,    0.3476,    0.8280,    1.1326,    0.7973,    8.9696
 108,    0.0195,   91.1003,    0.6553,    1.2289,    0.2468,    0.8222,   -3.2710,    0.8003,    4.7195
 109,    0.2624,  110.1231,    0.6546,    0.4331,    0.3914,    0.8081,   10.9247,    0.7818,   18.5243
 110,    0.4670,    3.4148,    2.6461,    0.9063,    0.2190,    0.6499,   -2.2146,    0.4725,    6.1761
 111,    0.1088,  103.5473,    0.7823,    1.0620,    0.3096,    0.8197,    0.1735,    0.8089,    8.1844
 112,    0.0578,   85.3733,    0.6889,    1.2165,    0.3900,    0.8112,   -3.5465,    0.7915,    4.5060
 113,    0.1434,  111.9426,    0.6109,    0.6463,    0.4287,    0.8203,    7.5701,    0.7980,   15.2035
 114,    0.0741,   12.0277,    1.7650,    0.5662,    0.3890,    0.6381,    5.0428,    0.4602,   12.4089
 115,    0.0553,   87.9010,    0.6801,    0.8893,    0.4728,    0.8188,    2.5269,    0.7850,   10.2636
 116,    0.0152,  107.6301,    0.5910,    1.0234,    0.3722,    0.8379,    1.2541,    0.8153,    9.1257
 117,    0.0245,  103.8960,    0.6880,    1.0177,    0.3174,    0.8318,    1.0511,    0.8087,    8.9326
 118,    0.0722,   55.8526,    1.2241,    0.7675,    0.3720,    0.8040,    4.3923,    0.7787,   12.3177
 119,    0.0045,  125.5870,    0.6220,    0.9841,    0.2964,    0.8586,    2.9334,    0.8390,   10.7788
 120,    0.6389,   38.1498,    2.9767,    1.0385,    0.4446,    0.5723,    2.2708,    0.5929,   11.7743
 121,    0.8924,   77.6129,    2.4131,    1.3082,    0.4490,    0.5354,    1.6911,    0.5595,   10.9515
 122,    0.1211,   81.1316,    0.5807,    1.8865,    0.3727,    0.7510,  -16.0767,    0.7670,   -7.5321
 123,    0.1082,   84.5698,    0.6339,    0.2303,    0.5646,    0.7910,   13.6088,    0.7232,   20.5088
 124,    0.1587,   87.7939,    0.6243,    0.5560,    0.4713,    0.8103,    8.1005,    0.7701,   15.4882
 125,    0.0306,   87.0409,    0.6411,    0.9129,    0.4383,    0.8209,    2.1487,    0.7829,    9.9146
 126,    0.2858,   14.1191,    0.7478,    1.8106,    0.2334,    0.6117,  -21.3799,    0.4995,  -11.7079
 127,    0.0015,   75.1605,    0.7558,    0.9727,    0.3684,    0.8215,    1.1817,    0.7580,    8.5770
 128,    0.3233,   74.9023,    0.8801,    1.3610,    0.1270,    0.7482,   -4.9283,    0.7744,    4.2578
 129,    0.9735,   89.9429,    2.6856,    1.2371,    0.1758,    0.5247,    4.0573,    0.5396,   13.1923
 130,    0.9546,   94.8365,    1.0335,    0.9088,    0.4744,    0.7263,    4.5805,    0.7434,   13.7010
 131,    0.8075,   18.0320,    3.4311,    1.5765,    0.3939,    0.5840,  -13.4745,    0.6464,   -2.6964
 132,    0.8631,    9.7083,    1.5335,    1.5703,    0.2562,    0.6870,  -16.6323,    0.6951,   -5.9823
 133,    0.9006,   12.6961,    3.5343,    0.5992,    0.2947,    0.7114,    5.0339,    0.6989,   14.0038
 134,    0.3088,   13.0425,    3.8469,    1.8091,    0.1172,    0.5470,  -19.9154,    0.6270,   -8.4379
 135,    0.4417,    8.4647,    2.3136,    1.3853,    0.1667,    0.7188,  -12.5925,    0.6794,   -2.2158
 136,    0.6186,   26.1126,    0.8886,    1.9843,    0.2545,    0.6514,  -23.0007,    0.6943,  -12.4551
 137,    0.4194,   13.6347,    3.0596,    1.9565,    0.2842,    0.5621,  -23.8287,    0.6465,  -12.0716
 138,    0.7849,   72.2337,    2.5280,    1.1514,    0.4662,    0.5558,    3.7978,    0.5811,   12.8890
 139,    0.0651,   49.9527,    1.1057,    0.7615,    0.1310,    0.8014,    4.1042,    0.7688,   12.0278
 140,    0.7101,   34.6443,    0.5423,    0.5062,    0.1009,    0.7465,    6.7393,    0.6559,   14.3178
 141,    0.7968,   43.7331,    3.8637,    1.0193,    0.3784,    0.4222,    5.0487,    0.4471,   14.5707
 142,    0.7758,   62.2790,    0.8848,    1.8250,    0.2913,    0.6720,  -14.1073,    0.7294,   -4.2602
 143,    0.0731,   82.9112,    1.7045,    1.2228,    0.1989,    0.6813,    1.4610,    0.7020,   10.3625
 144,    0.6465,   56.1793,    2.6279,    1.3234,    0.3477,    0.5837,   -1.1335,    0.6111,    8.3183
 145,    0.1775,   85.3463,    3.7365,    0.7802,    0.4165,    0.3874,   14.3804,    0.3709,   23.4266
 146,    0.7949,   25.1926,    0.8049,    1.3153,    0.1576,    0.7384,   -9.3996,    0.7373,    0.2734
 147,    0.7575,   33.6189,    2.3291,    1.7899,    0.4933,    0.5725,  -13.9695,    0.6282,   -3.5353
 148,    0.4838,   13.6998,    1.1067,    1.6877,    0.3456,    0.6803,  -18.7785,    0.6322,   -8.2540
 149,    0.7102,   62.7144,    3.3277,    1.0033,    0.2905,    0.4818,    6.8810,    0.4962,   15.8865
 150,    0.4629,   94.6058,    1.9622,    0.8538,    0.1121,    0.6695,    8.5004,    0.6769,   17.2405
 151,    0.1930,   95.5620,    0.7102,    0.6576,    0.2120,    0.8147,    6.5840,    0.7876,   14.2111
 152,    0.1312,   27.3802,    0.5861,    1.5576,    0.2670,    0.6728,  -14.8710,    0.5627,   -5.9028
 153,    0.5633,   42.3833,    0.8837,    1.5702,    0.3223,    0.7244,  -12.5116,    0.7573,   -2.5890
 154,    0.2662,   11.0042,    1.6603,    1.8557,    0.4131,    0.6460,  -23.5805,    0.6194,  -11.9745
 155,    0.5893,   16.4375,    2.7146,    1.0675,    0.1360,    0.7289,   -4.2480,    0.7302,    5.4239
 156,    0.0612,   74.3249,    3.0830,    0.7423,    0.4067,    0.4805,   12.3700,    0.4834,   21.4032
 157,    0.7136,   29.2905,    0.8689,    1.8569,    0.1114,    0.6716,  -19.8694,    0.7139,   -9.4824
 158,    0.0499,   88.9640,    1.1798,    1.1015,    0.2989,    0.7786,    1.0395,    0.7887,    9.5564
 159,    0.9064,   22.9016,    2.5732,    1.8175,    0.3883,    0.5756,  -17.7097,    0.6479,   -6.7799
 160,    0.0411,   96.3398,    0.8897,    1.0190,    0.3678,    0.7806,    2.9276,    0.7879,   11.4520
 161,    0.6786,   94.8431,    0.7220,    1.7270,    0.3220,    0.7311,  -12.0350,    0.7682,   -2.7460
 162,    0.3190,   43.2633,    3.9261,    1.3316,    0.1261,    0.4175,   -0.2601,    0.4523,    9.4493
 163,    0.2352,   83.9945,    3.3127,    0.7207,    0.2956,    0.4602,   13.8648,    0.4547,   22.7409
 164,    0.0346,   98.0914,    0.7610,    0.9756,    0.4044,    0.8269,    1.4687,    0.8002,    9.3081
 165,    0.4958,   64.1619,    3.5818,    1.9754,    0.1753,    0.4356,   -8.1237,    0.4752,    0.9553
 166,    0.2998,   12.7828,    0.9807,    1.9037,    0.1004,    0.6309,  -23.9747,    0.5713,  -13.0766
 167,    0.4020,   19.2560,    3.8528,    1.7839,    0.3060,    0.5086,  -16.0688,    0.5768,   -5.0412
 168,    0.2214,   62.6959,    3.7101,    0.9641,    0.3548,    0.3813,    9.1002,    0.3864,   18.3568
 169,    0.0940,  113.5880,    0.2791,    0.6268,    0.4088,    0.7405,    5.9429,    0.6278,   13.0827
 170,    0.9489,   68.5358,    3.2237,    1.9208,    0.4010,    0.4320,   -6.6834,    0.4607,    2.4580
 171,    0.3226,   38.1764,    3.1703,    1.1104,    0.1883,    0.5801,    1.0546,    0.6027,   10.5309
 172,    0.3320,   13.6383,    0.5566,    0.8443,    0.4773,    0.5938,   -0.3393,    0.3754,    7.4337
 173,    0.4512,   45.3888,    2.5562,    1.8717,    0.1924,    0.5555,  -12.4367,    0.6113,   -2.5518
 174,    0.4820,   12.5685,    2.7016,    1.6789,    0.1379,    0.6693,  -18.5242,    0.7060,   -7.3091
 175,    0.1919,   55.4636,    3.0007,    1.5245,    0.2689,    0.4800,   -2.5659,    0.5178,    6.7172
 176,    0.4865,    1.2154,    0.9892,    0.8422,    0.1520,    0.5308,   -0.7971,    0.2590,    7.0698
 177,    0.4474,   52.5926,    1.3916,    1.7437,    0.4350,    0.6414,  -11.5732,    0.6924,   -1.5690
 178,    0.2958,   56.1390,    2.5092,    1.3769,    0.4239,    0.5919,   -2.0087,    0.6234,    7.2705
 179,    0.8599,   45.1135,    3.7117,    0.9552,    0.1873,    0.4180,    6.2783,    0.4380,   15.7895
 180,    0.2140,   34.1099,    3.4906,    0.5399,    0.2913,    0.6264,   10.4408,    0.6288,   19.3345
 181,    0.1809,   45.2803,    3.6148,    0.5608,    0.2466,    0.5870,   12.2964,    0.5871,   20.9403
 182,    0.0646,    7.3282,    3.6010,    1.8325,    0.4631,    0.6364,  -23.7660,    0.6361,  -11.9080
 183,    0.4554,    7.0435,    2.5090,    0.7643,    0.2157,    0.7164,    1.1221,    0.5982,    9.3746
 184,    0.7752,   11.2904,    3.3022,    0.5475,    0.4807,    0.7288,    5.7403,    0.7056,   14.3955
 185,    0.0355,   20.5745,    1.2450,    0.8677,    0.3996,    0.6689,   -0.3688,    0.5071,    7.4387
 186,    0.0512,  151.0374,    0.2608,    0.8539,    0.4209,    0.7961,    3.0577,    0.7249,   10.4536
 187,    0.1717,   25.5028,    1.8094,    0.8432,    0.2781,    0.7786,    1.2477,    0.7479,    9.7360
 188,    0.0824,   15.7982,    3.4097,    1.6137,    0.3336,    0.6444,  -15.1897,    0.6902,   -4.5849
 189,    0.5372,   46.3307,    2.3451,    1.8697,    0.4464,    0.5486,  -12.1795,    0.6036,   -2.3352
 190,    0.3416,   49.0697,    0.5262,    0.5154,    0.4749,    0.7581,    7.0674,    0.6644,   14.5864
 191,    0.1524,   12.5695,    1.2696,    0.9957,    0.1317,    0.6184,   -3.5898,    0.4294,    4.6014
 192,    0.5823,   44.3284,    3.5059,    1.1284,    0.1442,    0.5423,    1.8881,    0.5645,   11.3310
 193,    0.0652,  127.6917,    0.3391,    0.8285,    0.5467,    0.7729,    2.7383,    0.6812,   10.1161
 194,    0.9969,   86.9859,    1.8106,    0.7539,    0.4171,    0.6627,    9.3255,    0.6658,   18.3575
 195,    0.5294,   19.9818,    3.2295,    1.9293,    0.2758,    0.5335,  -20.0500,    0.6117,   -8.8836
 196,    0.7043,   43.6029,    1.6234,    1.9406,    0.2616,    0.6079,  -16.5111,    0.6726,   -6.2287
 197,    0.0114,   76.1040,    0.8326,    1.0746,    0.3387,    0.8040,    0.3965,    0.8026,    8.8876
 198,    0.6532,   17.8013,    2.1865,    0.9274,    0.4400,    0.7282,   -1.1329,    0.7268,    8.3015
 199,    0.0302,   88.3782,    0.7141,    0.9911,    0.3713,    0.8220,    0.7971,    0.7885,    8.6405
 200,    0.0653,   51.5562,    0.7499,    0.8552,    0.2720,    0.7547,    1.0516,    0.6524,    8.7799
 201,    0.3804,   31.7150,    0.7115,    0.8576,    0.3120,    0.7249,    0.1132,    0.6089,    8.1615
 202,    0.0336,  130.5911,    0.9129,    1.0670,    0.4186,    0.7686,    4.4857,    0.7751,   13.0477
 203,    0.0273,  117.1199,    0.7627,    1.0289,    0.3913,    0.8328,    1.4398,    0.8188,    9.4628
 204,    0.7318,   64.3698,    3.4458,    0.6252,    0.1998,    0.4877,   13.3105,    0.4907,   22.0807
 205,    0.0108,  119.6427,    0.6975,    1.1782,    0.2230,    0.8411,   -0.8778,    0.8315,    7.1995
 206,    0.3557,   22.8281,    2.6577,    1.7767,    0.2123,    0.6186,  -17.4363,    0.6831,   -6.6267
 207,    0.0064,  140.4636,    0.5721,    1.0788,    0.3149,    0.8525,    1.9208,    0.8426,    9.8923
 208,    0.0119,  157.4868,    0.5976,    0.7809,    0.4665,    0.8447,    7.2946,    0.8273,   15.2178
 209,    0.9139,   47.9250,    0.8522,    1.5467,    0.4008,    0.6993,  -11.0364,    0.7402,   -1.0969
 210,    0.5685,   18.0809,    1.8597,    1.7738,    0.4948,    0.6695,  -19.6213,    0.7093,   -8.6097
 211,    0.0101,   99.0564,    0.6864,    1.0702,    0.3551,    0.8383,    0.0721,    0.8110,    7.8923
 212,    0.0026,   49.1969,    1.0799,    1.2048,    0.3624,    0.8209,   -3.7855,    0.7957,    4.3362
 213,    0.3793,   26.4855,    2.0793,    1.0479,    0.1152,    0.6990,   -1.8814,    0.7149,    7.6417
 214,    0.0008,   99.1944,    0.7319,    0.9878,    0.2906,    0.8606,    2.4092,    0.8200,    9.7094
 215,    0.0649,   82.2708,    2.4075,    1.4386,    0.4627,    0.5495,    0.5924,    0.5755,    9.6010
 216,    0.2315,   26.1823,    1.9603,    1.0283,    0.4769,    0.7693,   -2.5329,    0.7561,    6.4396
 217,    0.0326,  127.9868,    0.6275,    1.0572,    0.3274,    0.8302,    1.4178,    0.8226,    9.4993
 218,    0.4416,   59.3054,    2.0943,    1.1105,    0.4404,    0.6006,    2.9596,    0.6198,   12.1483
 219,    0.3459,   10.8592,    2.4675,    1.7470,    0.2900,    0.6641,  -20.7100,    0.6895,   -9.1945
 220,    0.1157,   68.7626,    0.6803,    0.8302,    0.3376,    0.8001,    2.5048,    0.7429,   10.2598
 221,    0.9755,   79.9918,    2.3820,    0.7840,    0.2291,    0.5516,   10.4735,    0.5608,   19.5310
 222,    0.4656,   11.3403,    1.8138,    0.7148,    0.3430,    0.7238,    2.3543,    0.6103,   10.4298
 223,    0.9583,   12.1319,    3.3551,    1.6885,    0.2774,    0.5880,  -18.0271,    0.6569,   -6.6855
 224,    0.3654,   51.8239,    2.1357,    1.3409,    0.2828,    0.6032,   -2.1176,    0.6341,    7.3071
 225,    0.2241,   33.0620,    2.9518,    1.0767,    0.1608,    0.6070,    0.4620,    0.6291,    9.9277
 226,    0.0088,   55.9622,    1.3004,    0.8393,    0.4634,    0.7983,    3.2040,    0.7756,   11.5126
 227,    0.6742,   71.2286,    0.5202,    1.4094,    0.4947,    0.7600,   -8.4002,    0.7769,    0.8370
 228,    0.3836,   34.0233,    0.6550,    1.5479,    0.2424,    0.7261,  -13.9218,    0.6743,   -4.5068
 229,    0.0019,  111.2218,    0.6928,    1.0605,    0.3139,    0.8667,    1.3642,    0.8411,    8.9453
 230,    0.0100,   83.4620,    0.9978,    0.9475,    0.3908,    0.8066,    3.0629,    0.8017,   11.4340
 231,    0.9627,   34.7636,    3.7057,    1.8234,    0.2270,    0.3870,  -10.9124,    0.4476,   -0.7000
 232,    0.1654,   33.2555,    3.3561,    1.8090,    0.2883,    0.5258,  -12.8407,    0.5875,   -2.7790
 233,    0.4291,   76.5726,    1.6233,    0.8327,    0.3370,    0.6923,    7.1437,    0.6973,   16.0892
 234,    0.4209,   84.4041,    2.2200,    0.9793,    0.4408,    0.5559,    8.0534,    0.5688,   16.9465
 235,    0.8492,   59.9178,    2.8465,    0.6256,    0.2888,    0.4990,   12.7330,    0.5039,   21.6314
 236,    0.8437,   69.2142,    2.4183,    1.3691,    0.1527,    0.5434,   -0.2212,    0.5779,    9.0858
 237,    0.8174,    4.1969,    3.4804,    1.1793,    0.2632,    0.7206,   -8.3452,    0.6664,    1.4339
 238,    0.0832,   39.3051,    3.7432,    1.1443,    0.3493,    0.4671,    2.2241,    0.5003,   11.7954
 239,    0.9250,    5.1447,    1.0895,    0.7083,    0.2691,    0.6984,    1.9704,    0.5615,    9.8702
